relative_time,LinearAccelerometerSensor,AccX,AccY
0,0.018035302096153723,-0.47805002331733704,
1,,,
9,,-0.4639500081539154,5.898000240325928
69,0.015277195319418093,-0.38895002007484436,
70,,-0.35100001096725464,
71,,,5.842950344085693
72,,,5.841000080108643
74,0.004849511073725893,-0.3820500075817108,5.862000465393066
138,,-0.40905001759529114,
139,,-0.4300500154495239,5.862000465393066
140,,,5.766000270843506
141,0.010327635732724385,,
143,,-0.4300500154495239,
144,,,5.7900004386901855
207,,-0.4210500121116638,
208,,-0.33000001311302185,
209,,,5.809950351715088
210,,,5.797950267791748
211,0.03340357342208568,-0.4759500324726105,
227,0.0221766643862365,-0.49695003032684326,5.749950408935547
228,,,5.788050174713135
229,,-0.5230500102043152,
230,,,5.860050201416016
237,0.020587151756704062,-0.5760000348091125,5.910000324249268
238,,,
239,,-0.6100500226020813,5.986950397491455
244,,-0.6049500107765198,5.989050388336182
245,,,
249,,-0.612000048160553,
250,,,5.989050388336182
255,0.036545379570362004,-0.583050012588501,5.941050052642822
259,,-0.5209500193595886,
260,,,5.881050109863281
264,,-0.49995002150535583,
265,,,5.85705041885376
269,,-0.46605002880096436,
270,,,5.8309502601623535
274,0.022225104602187677,,
275,,-0.4440000355243683,5.8120503425598145
282,,-0.4420500099658966,5.806950092315674
285,,-0.4639500081539154,5.818950176239014
300,,-0.46800002455711365,5.781000137329102
301,0.015351240935640213,,
307,,-0.4039500057697296,5.749950408935547
318,,-0.34200000762939453,5.7019500732421875
319,0.027458143220962346,,
321,,-0.21900001168251038,
322,,,5.557950496673584
325,,-0.39195001125335693,
326,,,5.565000057220459
334,,-0.4249500334262848,
335,,,5.613000392913818
337,,-0.4129500091075897,
338,0.04579903359322117,,
341,,-0.45600003004074097,5.842950344085693
350,,-0.2959500253200531,5.616000175476074
355,,0.20295001566410065,
356,0.05719011239562635,,4.966950416564941
360,,,
361,,-0.30105000734329224,
362,,,5.4720001220703125
363,,,
365,,-0.7840500473976135,6.130050182342529
378,0.020765200061312633,-0.8160000443458557,6.288000106811523
380,,-0.1789500117301941,5.826000213623047
388,,0.013950000517070293,
389,,,5.640000343322754
390,,0.0499500036239624,
391,,,5.551050186157227
395,0.1003292103690715,0.013950000517070293,5.53695011138916
400,,-0.05400000140070915,
401,,,5.611050128936768
405,,-0.11400000751018524,5.7109503746032715
406,,,
412,,-0.17400000989437103,
413,,,5.764050483703613
415,,-0.23895001411437988,
416,0.07526931898413886,,5.773950099945068
418,,,
421,,,
422,,-0.2670000195503235,5.749950408935547
425,,-0.29100000858306885,
426,,,5.698950290679932
433,,-0.21900001168251038,
434,,,5.584050178527832
437,,-0.1380000114440918,5.512950420379639
438,0.05121924113686341,,
442,,-0.04905000329017639,5.500950336456299
445,,0.0,
446,,,5.503050327301025
451,,0.06195000186562538,5.569950103759766
452,,,
462,,0.19395001232624054,
463,0.08909574398524271,,5.697000503540039
467,,-0.04500000178813934,6.175950527191162
472,,-0.2650500237941742,
473,,,6.403050422668457
476,,-0.23595000803470612,
477,0.05821710569047878,,6.415050506591797
480,,-0.10005000233650208,
481,,,6.307950496673584
487,,0.08100000023841858,6.178050518035889
490,,0.20595000684261322,
491,,,6.12600040435791
496,0.08445997363454337,0.3570000231266022,6.094050407409668
501,,0.4549500346183777,
502,,,6.01800012588501
505,,0.48600003123283386,
507,,,5.910000324249268
518,,0.4519500136375427,
519,0.09319327374314171,,5.7709503173828125
523,,0.3139500021934509,5.7109503746032715
524,,,
527,,0.3469500243663788,5.7109503746032715
528,,,
531,,0.44505003094673157,5.698950290679932
549,,0.5220000147819519,
550,,0.7450500130653381,5.653950214385986
551,,,5.404950141906738
552,0.13658362932223556,,
554,,0.7519500255584717,
556,0.1414159281458853,0.7660500407218933,
557,,,5.781000137329102
569,,0.7780500650405884,5.7709503173828125
570,,,5.725950241088867
572,,0.8350500464439392,5.692050457000732
576,,1.1040000915527344,5.593950271606445
577,0.14079246219141384,,
584,,0.9600000381469727,5.5410003662109375
592,,0.856950044631958,5.517000198364258
596,,0.7540500164031982,
597,0.1890849537560032,,5.719050407409668
601,,0.6700500249862671,
602,,,5.920050144195557
615,,0.6649500131607056,
616,,,6.015000343322754
617,0.15307914086098526,0.7180500626564026,6.13800048828125
621,,0.8160000443458557,
622,,,6.043950080871582
627,,0.703950047492981,5.917050361633301
635,,0.5359500050544739,5.853000164031982
636,,0.3450000286102295,5.848050117492676
637,0.10128335003204317,,
645,,0.3330000042915344,5.995950222015381
653,,0.40005001425743103,
654,,0.43605002760887146,6.220950126647949
657,0.10823933205611945,0.4429500102996826,
659,,,6.006000518798828
667,,0.49800002574920654,
668,,,5.623050212860107
679,0.05819038789386482,0.7540500164031982,5.398050308227539
686,,0.9910500645637512,5.683050155639648
693,,1.234950065612793,
694,,,5.728050231933594
702,,0.9979500770568848,5.7109503746032715
703,0.16042718997308852,,
707,,0.7210500240325928,5.805000305175781
708,,,
712,,0.6199500560760498,
713,,,6.013050079345703
719,,0.5820000171661377,
720,0.13503732106898675,,6.115950107574463
730,,0.534000039100647,
731,,,6.364950180053711
733,,0.6850500106811523,6.729000091552734
737,,0.6300000548362732,
739,,,6.516000270843506
740,0.10147077746843171,,
742,,0.6340500116348267,
743,,,6.13800048828125
749,,0.5940000414848328,5.877000331878662
752,,0.5770500302314758,
