relative_time,LinearAccelerometerSensor,AccX,AccY
0,0.04572696563230811,,
1,,-1.3830000162124634,4.846950054168701
19,,,
71,,,
74,0.04612616595291011,-1.3519500494003296,4.82295036315918
75,,,
79,,-0.5209500193595886,
80,0.14493376510869488,,4.912050247192383
90,,,
130,,,
150,,-0.34200000762939453,4.972050189971924
151,0.2021274279305283,,
152,,-1.162950038909912,4.633950233459473
173,,,
216,,,
221,,,
222,,,
229,,-1.1340000629425049,
230,,-0.6930000185966492,4.734000205993652
231,0.07031959921707452,,4.5
233,,-1.1700000762939453,4.921050071716309
239,0.1425868188480592,-1.1440500020980835,4.990950107574463
254,,,
293,,,
300,,-1.0980000495910645,4.987950325012207
301,0.10073730042737558,,
307,,-0.7129500508308411,4.921050071716309
315,,-0.6220500469207764,4.864050388336182
325,0.08676488804551458,-0.44700002670288086,4.746000289916992
344,,-0.3750000298023224,4.699050426483154
345,0.10223743944969674,,
349,,-0.7459500432014465,4.88100004196167
357,,,
362,0.1810416940184976,-0.8179500102996826,4.870950222015381
374,,,
381,,-0.9400500655174255,
382,0.20500482429956943,,4.789950370788574
385,,-0.9570000171661377,5.110050201416016
400,0.18439225786874644,-0.781950056552887,5.107950210571289
401,,,
404,,-0.4300500154495239,4.999950408935547
409,,-0.45600003004074097,5.0119500160217285
413,,,
418,,-0.5380499958992004,5.026950359344482
419,0.09255168915605443,-0.6499500274658203,5.026950359344482
438,,-0.7560000419616699,5.022000312805176
454,,,
460,0.0755281944907656,-0.9930000305175781,4.950000286102295
461,0.1209148616142015,-1.0890001058578491,5.034000396728516
481,0.08928708028599894,-1.0360500812530518,5.0530500411987305
484,,-0.5209500193595886,5.11305046081543
493,,,
500,0.08862976174885502,-0.4320000112056732,5.118000030517578
501,,,
520,0.1105134375924861,-0.2550000250339508,5.139000415802002
526,,-0.583050012588501,5.134050369262695
534,,,
537,,-0.697950005531311,5.034000396728516
555,0.051064088739498296,-0.7459500432014465,4.915950298309326
574,,0.5149500370025635,
577,,0.1579500138759613,4.738950252532959
578,0.0884941466754402,,5.043000221252441
580,,0.11700000613927841,
581,0.10213813966881795,,5.06505012512207
585,,0.22005000710487366,4.789950370788574
594,,0.531000018119812,4.62000036239624
595,,0.5749500393867493,4.507050037384033
601,0.16347620290627804,0.598050057888031,4.7029500007629395
602,,,
614,,0.4620000123977661,5.07705020904541
615,,0.23895001411437988,5.584050178527832
620,,0.24195000529289246,5.484000205993652
622,0.18458272498642653,,
626,,0.2939999997615814,5.215950012207031
653,0.20296534352604528,0.4140000343322754,4.966950416564941
655,,0.016950000077486038,
656,,,4.689000129699707
661,,-0.1879500150680542,
662,0.13320296055400463,,5.074050426483154
680,,0.028950002044439316,5.4910502433776855
683,0.09235888265976407,-0.10905000567436218,
686,,-0.19095000624656677,5.4340500831604
692,,,
702,0.07758297349486215,-0.21705001592636108,5.424000263214111
721,0.10114254692086731,-0.08505000174045563,6.166050434112549
726,,0.1579500138759613,5.379000186920166
730,,,
744,0.11734925074325948,0.20595000684261322,5.398050308227539
746,,0.3450000286102295,5.244000434875488
772,,0.37095001339912415,5.284950256347656
773,0.1629676275498092,,5.343000411987305
777,,-1.218000054359436,5.06505012512207
801,0.2855906117729442,-4.615050315856934,5.3620500564575195
802,0.31956875914366456,-0.38700002431869507,7.73205041885376
806,,0.12195000797510147,7.04295015335083
812,,,
826,0.1801645539049891,0.5290500521659851,6.31695032119751
831,,,
850,0.09313701360932868,0.742050051689148,5.424000263214111
851,,0.4519500136375427,5.0530500411987305
853,,,
873,0.09387390571456773,0.43605002760887146,5.094000339508057
876,,0.43995001912117004,
877,,,5.36400032043457
891,0.05816833517228029,0.43800002336502075,5.4720001220703125
896,,0.9910500645637512,5.383050441741943
917,0.06806814623870454,,
